Gene,RLS
YOR271C,23.8
YOR273C,35.6
YOR274W,24.45
YOR275C,16.6
YOR276W,28.66753
YOR277C,17.4
YOR279C,20.4
YOR280C,24.8
YOR283W,27.6
YOR284W,26.4
YOR285W,23.8
YOR286W,19.2
YOR288C,32
YOR289W,25.4
YOR290C,30.06154
YOR291W,41.8
YOR292C,25
YOR293W,24
YOR295W,22.4
YOR296W,30.6
YOR297C,31.4
YOR298C-A,27.4
YOR298W,29.4
YOR299W,27.4
YOR300W,28.4
YOR301W,21.4
YOR302W,22.6
YOR303W,23.2
YOR304C-A,24.2
YOR304W,29.68663
YOR305W,24.2
YOR306C,23
YOR307C,30.8
YOR308C,30.2
YOR309C,27.2
YOR311C,36.56
YOR312C,36.37763
YOR313C,28.32
YOR314W,23.8
YOR315W,29.96
YOR316C,34
YOR317W,21.2
YOR318C,35.6
YOR320C,28.8
YOR321W,32.26667
YOR322C,6.8
YOR323C,7.6
YOR324C,36.4
YOR325W,26.78947
YOR327C,26.8
YOR328W,39.2
YOR330C,28.8
YOR331C,25.65
YOR332W,7.8
YOR333C,28.7
YOR334W,30.8
YOR337W,35
YOR338W,31.4
YOR339C,33.8
YOR342C,23.6
YOR343C,25.4
YOR344C,35.2
YOR345C,31
YOR346W,33.6
YOR347C,32.8
YOR348C,37.2
YOR349W,21.2
YOR350C,29.8
YOR351C,26.6
YOR352W,27.4
YOR354C,27.6
YOR355W,31.2
YOR356W,27.8
YOR357C,34
YOR358W,28.6
YOR359W,32.4
YOR360C,18.64444
YOR363C,26.76
YOR364W,23.4
YOR365C,35.4
YOR366W,25.8
YOR367W,29.46667
YOR368W,24.2
YOR371C,25.2
YOR374W,35.4
YOR375C,28.6
YOR376W,31.4
YOR377W,36.2
YOR378W,32.2
YOR379C,23.4
YOR380W,30.8
YOR381W,23.8
YOR382W,29.96
YOR383C,20
YOR384W,27.4
YOR385W,35
YOR386W,28.8
YPL001W,31.8
YPL002C,28.4
YPL003W,30.4
YPL004C,26.8
YPL005W,33.2
YPL006W,24.88571
YPL008W,14.6
YPL009C,28.85
YPL013C,21.6
YPL014W,17.6
YPL015C,26.06667
YPL017C,23.9
YPL018W,12.6
YPL019C,19.8
YPL021W,26.2
YPL022W,22.4
YPL023C,24.2
YPL024W,9.2
YPL025C,23.4
YPL026C,28.2
YPL027W,28.6
YPL029W,33.84444
YPL030W,13.4
YPL031C,12.52308
YPL032C,24.2
YPL033C,20
YPL034W,29
YPL035C,25.4
YPL036W,31.2
YPL037C,22.8
YPL038W,21.6
YPL039W,21
YPL040C,30.925
YPL041C,16.6
YPL042C,26.66667
YPL045W,13.6
YPL046C,27.6
YPL047W,36.01176
YPL048W,26.96
YPL049C,20.6
YPL050C,29.88
YPL051W,25.4
YPL052W,22.6
YPL053C,19.6
YPL054W,18.2
YPL055C,12.8
YPL056C,21.4
YPL057C,13.88
YPL058C,25.4
YPL059W,21
YPL060W,14.4
YPL061W,22.52
YPL062W,21
YPL064C,19.6
YPL065W,18.4
YPL066W,30.8
YPL067C,30.8
YPL068C,22.2
YPL069C,30
YPL070W,16.4
YPL071C,26.4
YPL072W,21.6
YPL073C,23.2
YPL074W,24.6
YPL077C,29.56
YPL078C,27.48276
YPL079W,37.68
YPL080C,19
YPL081W,26.16
YPL084W,27.8
YPL086C,27.8
YPL087W,17
YPL088W,20
YPL089C,21.8
YPL090C,31.31429
YPL091W,24
YPL092W,25.4
YPL095C,41.6
YPL096W,25
YPL097W,23.6
YPL098C,17.2
YPL099C,29
YPL100W,13.8
YPL101W,34.51111
YPL102C,46.8
YPL103C,33.6
YPL104W,28.4
YPL105C,30.73333
YPL106C,37.2
YPL107W,37
YPL108W,43
YPL109C,39.4
YPL110C,39.4
YPL111W,39.2
YPL112C,22.6
YPL113C,23.2
YPL114W,33.2
YPL115C,23.6
YPL116W,28
YPL118W,29.8
YPL119C,19
YPL120W,24.6
YPL121C,31
YPL123C,26
YPL125W,36.8
YPL127C,28.28889
YPL129W,29.63077
YPL130W,26
YPL132W,19.4
YPL133C,36.8
YPL134C,25.4
YPL135W,35.2
YPL136W,21.4
YPL137C,26.6
YPL138C,28.06154
YPL139C,19
YPL140C,31.8
YPL141C,19.6
YPL144W,33.4
YPL145C,34
YPL147W,34.6
YPL148C,32.2
YPL149W,28
YPL150W,26.68
YPL152W,40.91111
YPL153C,4.98947
YPL154C,25.18462
YPL155C,31.76923
YPL156C,30.4
YPL157W,32.64
YPL158C,31.08
YPL159C,29.6
YPL161C,19.34091
YPL162C,28
YPL163C,24.4
YPL164C,23
YPL165C,35.12
YPL166W,23.2
YPL167C,29.04
YPL168W,28.4
YPL170W,34.73333
YPL171C,35.2
YPL172C,10.8
YPL173W,32.72
YPL174C,16
YPL176C,33.8
YPL177C,32.57778
YPL178W,35
YPL179W,30.4
YPL180W,33.76
YPL181W,26.04
YPL182C,18
YPL183C,24.2
YPL183W-A,31.9
YPL184C,20.6
YPL185W,27.6
YPL186C,34
YPL187W,31.52
YPL188W,12.97778
YPL189W,29.1
YPL191C,28.6
YPL192C,28.6
YPL193W,27.48
YPL194W,22.3
YPL195W,26.6
YPL196W,27.4
YPL197C,27
YPL198W,24.76
YPL199C,30.6
YPL200W,30.2
YPL201C,22.8
YPL202C,35.8
YPL203W,21.35556
YPL205C,30.6
YPL206C,25.2
YPL207W,30.4
YPL208W,31.15556
YPL212C,24.4
YPL213W,9.6
YPL214C,25.8
YPL215W,15.6
YPL216W,21
YPL219W,19.2
YPL220W,26.22857
YPL221W,26.4
YPL222W,33.4
YPL223C,17.6
YPL224C,20.8
YPL225W,27.4
YPL226W,23.4
YPL227C,30.88
YPL229W,29.4
YPL230W,38.2
YPL232W,30.52
YPL234C,5.95455
YPL236C,20.2
YPL239W,26.91429
YPL240C,27.68
YPL241C,11.4
YPL244C,31.6
YPL245W,28.8
YPL246C,37.6
YPL247C,23
YPL248C,24.6
YPL249C,33.53333
YPL250C,26.48889
YPL253C,32.8
YPL254W,3.98077
YPL256C,32.45882
YPL257W,31.6
YPL258C,24
YPL259C,25.4
YPL260W,23.4
YPL261C,26.2
YPL262W,30.31111
YPL263C,31.04
YPL264C,28.2
YPL265W,34
YPL267W,21.2
YPL268W,29
YPL269W,23.8
YPL270W,25.2
YPL271W,26.6
YPL272C,27.6
YPL273W,23.2
YPL274W,29
YPR001W,30.46667
YPR002W,30.6
YPR003C,26.2
YPR004C,30.48
YPR005C,31.6
YPR006C,24
YPR007C,32.04
YPR008W,32.6
YPR009W,25.2
YPR011C,28.97778
YPR012W,28
YPR013C,43.4
YPR014C,23.8
YPR015C,22.4
YPR017C,27.8
YPR018W,16
YPR020W,23.8
YPR021C,31.38824
YPR022C,32.4
YPR023C,26.8
YPR024W,15.25974
YPR026W,38.2
YPR027C,19.2
YPR028W,15.6
YPR029C,20
YPR030W,19.4
YPR031W,29.92
YPR032W,18.6
YPR036W,6.74167
YPR037C,27.6
YPR038W,31
YPR039W,15.8
YPR040W,35.64
YPR042C,20.8
YPR043W,20.58947
YPR044C,28.4
YPR045C,26.6
YPR046W,22.6
YPR047W,25.4
YPR049C,27.12
YPR050C,35.2
YPR051W,23.6
YPR052C,21.4
YPR053C,20.2
YPR054W,21
YPR057W,26.51765
YPR058W,18.2
YPR059C,24.6
YPR060C,19.4
YPR061C,21.8
YPR062W,26.2
YPR063C,20.4
YPR064W,32.48
YPR065W,18
YPR066W,22
YPR067W,25
YPR068C,27.6
YPR069C,24
YPR070W,23
YPR071W,20.8
YPR072W,13
YPR073C,23.2
YPR074C,29.68
YPR075C,29.4
YPR076W,23
YPR077C,22.6
YPR078C,27.2
YPR079W,24.2
YPR083W,21.8
YPR084W,20.2
YPR087W,12.6
YPR089W,23.1
YPR091C,25.4
YPR092W,20.6
YPR093C,22.6
YPR095C,15.8
YPR096C,9.8
YPR097W,21.6
YPR098C,18.4
YPR099C,22
YPR100W,25.16471
YPR101W,16.6
YPR104C,26.15
YPR106W,29.8
YPR109W,21.8
YPR111W,30.85
YPR114W,25.4
YPR115W,18.2
YPR116W,30.8
YPR117W,24.6
YPR118W,23.2
YPR119W,28.67692
YPR120C,12.4
YPR121W,28.8
YPR122W,28
YPR123C,26.2
YPR124W,10.33333
YPR125W,31.12
YPR126C,35.2
YPR127W,19.8
YPR128C,23.4
YPR129W,21.6
YPR130C,15
YPR131C,20
YPR132W,25.6
YPR133W-A,24.4
YPR134W,31.2
YPR135W,7.4
YPR138C,28
YPR139C,17
YPR140W,21.8
YPR141C,9.8
YPR145W,26.4
YPR146C,25.2
YPR147C,20.8
YPR148C,20.2
YPR149W,25.8
YPR150W,29.2
YPR151C,28
YPR152C,27.4
YPR153W,31.8
YPR154W,29.22353
YPR155C,30
YPR156C,26.95385
YPR157W,26
YPR158W,36.08
YPR159W,4.64
YPR160W,27.2
YPR163C,17.92
YPR164W,18.6
YPR166C,30.95294
YPR167C,27.4
YPR170C,27.6
YPR171W,16.6
YPR172W,15.6
YPR173C,26.47692
YPR174C,30.2
YPR179C,28.4
YPR184W,29.2
YPR185W,28.49627
YPR188C,30.6
YPR189W,32.8
YPR191W,15
YPR192W,29.62222
YPR193C,22.2
YPR194C,24.8
YPR195C,30
YPR196W,27.2
YPR197C,23
YPR198W,30.2
YPR199C,27.4
YPR200C,36
YPR201W,30.2
YAL003W,0
YAL025C,0
YAL032C,0
YAL033W,0
YAL034W-A,0
YAL038W,0
YAL041W,0
YAL043C,0
YAR007C,0
YAR008W,0
YAR019C,0
YBL004W,0
YBL014C,0
YBL018C,0
YBL020W,0
YBL023C,0
YBL026W,0
YBL034C,0
YBL035C,0
YBL040C,0
YBL041W,0
YBL050W,0
YBL074C,0
YBL076C,0
YBL084C,0
YBL092W,0
YBL097W,0
YBL105C,0
YBR002C,0
YBR004C,0
YBR029C,0
YBR038W,0
YBR049C,0
YBR055C,0
YBR060C,0
YBR070C,0
YBR079C,0
YBR080C,0
YBR087W,0
YBR088C,0
YBR091C,0
YBR102C,0
YBR109C,0
YBR110W,0
YBR121C,0
YBR123C,0
YBR135W,0
YBR136W,0
YBR140C,0
YBR142W,0
YBR143C,0
YBR152W,0
YBR153W,0
YBR154C,0
YBR155W,0
YBR160W,0
YBR167C,0
YBR192W,0
YBR193C,0
YBR196C,0
YBR198C,0
YBR202W,0
YBR211C,0
YBR233W-A,0
YBR234C,0
YBR236C,0
YBR237W,0
YBR243C,0
YBR247C,0
YBR252W,0
YBR253W,0
YBR254C,0
YBR256C,0
YBR257W,0
YBR265W,0
YCL017C,0
YCL031C,0
YCL043C,0
YCL052C,0
YCL054W,0
YCL059C,0
YCR012W,0
YCR035C,0
YCR039C,0
YCR052W,0
YCR054C,0
YCR057C,0
YCR072C,0
YCR093W,0
YCR096C,0
YDL003W,0
YDL004W,0
YDL007W,0
YDL008W,0
YDL014W,0
YDL015C,0
YDL017W,0
YDL028C,0
YDL029W,0
YDL030W,0
YDL031W,0
YDL043C,0
YDL045C,0
YDL055C,0
YDL058W,0
YDL060W,0
YDL064W,0
YDL084W,0
YDL087C,0
YDL092W,0
YDL097C,0
YDL098C,0
YDL103C,0
YDL105W,0
YDL108W,0
YDL111C,0
YDL120W,0
YDL126C,0
YDL132W,0
YDL139C,0
YDL140C,0
YDL141W,0
YDL143W,0
YDL145C,0
YDL147W,0
YDL148C,0
YDL150W,0
YDL153C,0
YDL164C,0
YDL165W,0
YDL166C,0
YDL193W,0
YDL195W,0
YDL205C,0
YDL207W,0
YDL208W,0
YDL209C,0
YDL212W,0
YDL217C,0
YDL220C,0
YDL235C,0
YDR002W,0
YDR013W,0
YDR016C,0
YDR021W,0
YDR023W,0
YDR037W,0
YDR041W,0
YDR044W,0
YDR045C,0
YDR047W,0
YDR050C,0
YDR052C,0
YDR054C,0
YDR060W,0
YDR062W,0
YDR064W,0
YDR081C,0
YDR082W,0
YDR086C,0
YDR087C,0
YDR088C,0
YDR091C,0
YDR113C,0
YDR118W,0
YDR141C,0
YDR145W,0
YDR160W,0
YDR164C,0
YDR166C,0
YDR167W,0
YDR168W,0
YDR170C,0
YDR172W,0
YDR177W,0
YDR180W,0
YDR182W,0
YDR188W,0
YDR189W,0
YDR190C,0
YDR196C,0
YDR201W,0
YDR208W,0
YDR211W,0
YDR212W,0
YDR224C,0
YDR228C,0
YDR232W,0
YDR235W,0
YDR236C,0
YDR238C,0
YDR240C,0
YDR243C,0
YDR246W,0
YDR267C,0
YDR280W,0
YDR288W,0
YDR292C,0
YDR299W,0
YDR301W,0
YDR302W,0
YDR303C,0
YDR308C,0
YDR311W,0
YDR324C,0
YDR325W,0
YDR328C,0
YDR331W,0
YDR339C,0
YDR341C,0
YDR353W,0
YDR356W,0
YDR361C,0
YDR362C,0
YDR365C,0
YDR367W,0
YDR373W,0
YDR376W,0
YDR381W,0
YDR390C,0
YDR394W,0
YDR397C,0
YDR398W,0
YDR404C,0
YDR407C,0
YDR412W,0
YDR416W,0
YDR427W,0
YDR429C,0
YDR434W,0
YDR437W,0
YDR449C,0
YDR454C,0
YDR460W,0
YDR464W,0
YDR468C,0
YDR472W,0
YDR473C,0
YDR478W,0
YDR487C,0
YDR489W,0
YDR498C,0
YDR499W,0
YDR510W,0
YDR527W,0
YDR531W,0
YEL002C,0
YEL019C,0
YEL026W,0
YEL032W,0
YEL034W,0
YEL035C,0
YEL055C,0
YEL058W,0
YER003C,0
YER006W,0
YER008C,0
YER009W,0
YER018C,0
YER021W,0
YER022W,0
YER023W,0
YER025W,0
YER036C,0
YER038C,0
YER043C,0
YER048W-A,0
YER074W-A,0
YER082C,0
YER093C,0
YER094C,0
YER104W,0
YER112W,0
YER125W,0
YER126C,0
YER127W,0
YER133W,0
YER136W,0
YER146W,0
YER147C,0
YER148W,0
YER157W,0
YER159C,0
YER165W,0
YER168C,0
YER171W,0
YER172C,0
YFL002C,0
YFL005W,0
YFL008W,0
YFL009W,0
YFL017C,0
YFL017W-A,0
YFL022C,0
YFL024C,0
YFL029C,0
YFL034C-B,0
YFL037W,0
YFL038C,0
YFL039C,0
YFL045C,0
YFR002W,0
YFR003C,0
YFR004W,0
YFR005C,0
YFR027W,0
YFR028C,0
YFR029W,0
YFR031C,0
YFR037C,0
YFR042W,0
YFR050C,0
YFR051C,0
YFR052W,0
YGL001C,0
YGL008C,0
YGL011C,0
YGL018C,0
YGL022W,0
YGL030W,0
YGL040C,0
YGL044C,0
YGL047W,0
YGL048C,0
YGL055W,0
YGL061C,0
YGL065C,0
YGL068W,0
YGL073W,0
YGL075C,0
YGL091C,0
YGL092W,0
YGL093W,0
YGL097W,0
YGL098W,0
YGL099W,0
YGL103W,0
YGL111W,0
YGL112C,0
YGL113W,0
YGL116W,0
YGL120C,0
YGL122C,0
YGL123W,0
YGL128C,0
YGL130W,0
YGL137W,0
YGL142C,0
YGL145W,0
YGL150C,0
YGL155W,0
YGL169W,0
YGL171W,0
YGL172W,0
YGL201C,0
YGL207W,0
YGL225W,0
YGL233W,0
YGL238W,0
YGL245W,0
YGL247W,0
YGR002C,0
YGR005C,0
YGR009C,0
YGR013W,0
YGR024C,0
YGR029W,0
YGR030C,0
YGR046W,0
YGR047C,0
YGR048W,0
YGR060W,0
YGR065C,0
YGR074W,0
YGR075C,0
YGR082W,0
YGR083C,0
YGR090W,0
YGR091W,0
YGR094W,0
YGR095C,0
YGR098C,0
YGR099W,0
YGR103W,0
YGR113W,0
YGR116W,0
YGR119C,0
YGR120C,0
YGR128C,0
YGR140W,0
YGR145W,0
YGR156W,0
YGR158C,0
YGR172C,0
YGR175C,0
YGR179C,0
YGR185C,0
YGR186W,0
YGR191W,0
YGR195W,0
YGR198W,0
YGR211W,0
YGR216C,0
YGR218W,0
YGR245C,0
YGR246C,0
YGR251W,0
YGR253C,0
YGR264C,0
YGR267C,0
YGR274C,0
YGR277C,0
YGR278W,0
YGR280C,0
YHL015W,0
YHR005C-A,0
YHR007C,0
YHR019C,0
YHR020W,0
YHR023W,0
YHR024C,0
YHR036W,0
YHR040W,0
YHR058C,0
YHR062C,0
YHR065C,0
YHR068W,0
YHR069C,0
YHR070W,0
YHR072W,0
YHR074W,0
YHR083W,0
YHR084W,0
YHR085W,0
YHR088W,0
YHR101C,0
YHR118C,0
YHR122W,0
YHR143W-A,0
YHR148W,0
YHR164C,0
YHR166C,0
YHR170W,0
YHR172W,0
YHR186C,0
YHR188C,0
YHR190W,0
YHR196W,0
YHR197W,0
YIL003W,0
YIL004C,0
YIL019W,0
YIL021W,0
YIL026C,0
YIL031W,0
YIL048W,0
YIL051C,0
YIL061C,0
YIL062C,0
YIL063C,0
YIL068C,0
YIL075C,0
YIL078W,0
YIL083C,0
YIL091C,0
YIL104C,0
YIL106W,0
YIL109C,0
YIL115C,0
YIL118W,0
YIL126W,0
YIL129C,0
YIL142W,0
YIL143C,0
YIL144W,0
YIL147C,0
YIL150C,0
YIR006C,0
YIR008C,0
YIR010W,0
YIR011C,0
YIR012W,0
YIR015W,0
YIR022W,0
YJL001W,0
YJL002C,0
YJL005W,0
YJL008C,0
YJL010C,0
YJL011C,0
YJL014W,0
YJL019W,0
YJL025W,0
YJL026W,0
YJL031C,0
YJL033W,0
YJL034W,0
YJL035C,0
YJL039C,0
YJL041W,0
YJL050W,0
YJL061W,0
YJL069C,0
YJL072C,0
YJL074C,0
YJL076W,0
YJL081C,0
YJL085W,0
YJL087C,0
YJL091C,0
YJL097W,0
YJL104W,0
YJL109C,0
YJL111W,0
YJL125C,0
YJL143W,0
YJL156C,0
YJL167W,0
YJL173C,0
YJL174W,0
YJL194W,0
YJL203W,0
YJR002W,0
YJR006W,0
YJR007W,0
YJR012C,0
YJR013W,0
YJR016C,0
YJR017C,0
YJR022W,0
YJR041C,0
YJR042W,0
YJR045C,0
YJR046W,0
YJR057W,0
YJR064W,0
YJR065C,0
YJR067C,0
YJR068W,0
YJR072C,0
YJR076C,0
YJR093C,0
YJR112W,0
YJR123W,0
YJR141W,0
YKL004W,0
YKL006C-A,0
YKL012W,0
YKL013C,0
YKL014C,0
YKL018W,0
YKL019W,0
YKL021C,0
YKL022C,0
YKL024C,0
YKL028W,0
YKL033W,0
YKL042W,0
YKL045W,0
YKL049C,0
YKL052C,0
YKL058W,0
YKL059C,0
YKL060C,0
YKL078W,0
YKL082C,0
YKL088W,0
YKL089W,0
YKL095W,0
YKL099C,0
YKL104C,0
YKL108W,0
YKL112W,0
YKL122C,0
YKL125W,0
YKL138C-A,0
YKL141W,0
YKL144C,0
YKL145W,0
YKL152C,0
YKL154W,0
YKL165C,0
YKL172W,0
YKL173W,0
YKL180W,0
YKL182W,0
YKL186C,0
YKL189W,0
YKL192C,0
YKL193C,0
YKL195W,0
YKL196C,0
YKL203C,0
YKL210W,0
YKR002W,0
YKR004C,0
YKR008W,0
YKR022C,0
YKR025W,0
YKR037C,0
YKR038C,0
YKR062W,0
YKR063C,0
YKR068C,0
YKR071C,0
YKR079C,0
YKR081C,0
YKR083C,0
YKR086W,0
YLL003W,0
YLL004W,0
YLL008W,0
YLL011W,0
YLL018C,0
YLL031C,0
YLL034C,0
YLL035W,0
YLL036C,0
YLL050C,0
YLR002C,0
YLR005W,0
YLR007W,0
YLR008C,0
YLR009W,0
YLR010C,0
YLR022C,0
YLR026C,0
YLR029C,0
YLR033W,0
YLR045C,0
YLR051C,0
YLR060W,0
YLR066W,0
YLR071C,0
YLR075W,0
YLR078C,0
YLR086W,0
YLR088W,0
YLR099W-A,0
YLR100W,0
YLR103C,0
YLR105C,0
YLR106C,0
YLR115W,0
YLR116W,0
YLR117C,0
YLR127C,0
YLR129W,0
YLR132C,0
YLR141W,0
YLR145W,0
YLR147C,0
YLR153C,0
YLR163C,0
YLR166C,0
YLR167W,0
YLR175W,0
YLR186W,0
YLR195C,0
YLR196W,0
YLR197W,0
YLR208W,0
YLR212C,0
YLR215C,0
YLR222C,0
YLR229C,0
YLR243W,0
YLR249W,0
YLR259C,0
YLR272C,0
YLR274W,0
YLR275W,0
YLR276C,0
YLR277C,0
YLR291C,0
YLR298C,0
YLR305C,0
YLR310C,0
YLR314C,0
YLR316C,0
YLR321C,0
YLR323C,0
YLR336C,0
YLR340W,0
YLR347C,0
YLR355C,0
YLR359W,0
YLR378C,0
YLR397C,0
YLR409C,0
YLR424W,0
YLR430W,0
YLR438C-A,0
YLR440C,0
YLR457C,0
YLR459W,0
YML010W,0
YML015C,0
YML023C,0
YML025C,0
YML031W,0
YML043C,0
YML046W,0
YML049C,0
YML064C,0
YML065W,0
YML069W,0
YML077W,0
YML085C,0
YML091C,0
YML092C,0
YML093W,0
YML098W,0
YML105C,0
YML114C,0
YML125C,0
YML126C,0
YML127W,0
YML130C,0
YMR001C,0
YMR005W,0
YMR013C,0
YMR028W,0
YMR043W,0
YMR047C,0
YMR049C,0
YMR059W,0
YMR061W,0
YMR076C,0
YMR079W,0
YMR093W,0
YMR094W,0
YMR112C,0
YMR113W,0
YMR117C,0
YMR128W,0
YMR131C,0
YMR134W,0
YMR149W,0
YMR168C,0
YMR197C,0
YMR200W,0
YMR203W,0
YMR208W,0
YMR211W,0
YMR213W,0
YMR218C,0
YMR220W,0
YMR227C,0
YMR229C,0
YMR235C,0
YMR236W,0
YMR239C,0
YMR240C,0
YMR260C,0
YMR268C,0
YMR270C,0
YMR277W,0
YMR281W,0
YMR288W,0
YMR290C,0
YMR296C,0
YMR298W,0
YMR301C,0
YMR308C,0
YMR309C,0
YMR314W,0
YNL002C,0
YNL006W,0
YNL007C,0
YNL024C-A,0
YNL026W,0
YNL038W,0
YNL039W,0
YNL061W,0
YNL062C,0
YNL075W,0
YNL088W,0
YNL102W,0
YNL103W,0
YNL110C,0
YNL112W,0
YNL113W,0
YNL118C,0
YNL124W,0
YNL126W,0
YNL131W,0
YNL132W,0
YNL137C,0
YNL149C,0
YNL151C,0
YNL152W,0
YNL158W,0
YNL161W,0
YNL162W,0
YNL163C,0
YNL172W,0
YNL178W,0
YNL181W,0
YNL182C,0
YNL188W,0
YNL189W,0
YNL207W,0
YNL216W,0
YNL221C,0
YNL222W,0
YNL232W,0
YNL240C,0
YNL244C,0
YNL245C,0
YNL247W,0
YNL251C,0
YNL256W,0
YNL258C,0
YNL260C,0
YNL261W,0
YNL262W,0
YNL263C,0
YNL267W,0
YNL272C,0
YNL282W,0
YNL287W,0
YNL290W,0
YNL306W,0
YNL308C,0
YNL310C,0
YNL312W,0
YNL313C,0
YNL317W,0
YNR003C,0
YNR011C,0
YNR016C,0
YNR017W,0
YNR026C,0
YNR035C,0
YNR038W,0
YNR043W,0
YNR046W,0
YNR053C,0
YNR054C,0
YOL005C,0
YOL010W,0
YOL021C,0
YOL022C,0
YOL026C,0
YOL034W,0
YOL038W,0
YOL040C,0
YOL066C,0
YOL069W,0
YOL077C,0
YOL078W,0
YOL094C,0
YOL097C,0
YOL102C,0
YOL120C,0
YOL123W,0
YOL127W,0
YOL130W,0
YOL133W,0
YOL135C,0
YOL144W,0
YOL146W,0
YOL149W,0
YOR004W,0
YOR020C,0
YOR046C,0
YOR056C,0
YOR057W,0
YOR060C,0
YOR063W,0
YOR074C,0
YOR075W,0
YOR077W,0
YOR095C,0
YOR098C,0
YOR103C,0
YOR110W,0
YOR116C,0
YOR117W,0
YOR119C,0
YOR122C,0
YOR143C,0
YOR148C,0
YOR149C,0
YOR151C,0
YOR157C,0
YOR159C,0
YOR168W,0
YOR174W,0
YOR176W,0
YOR181W,0
YOR194C,0
YOR204W,0
YOR206W,0
YOR207C,0
YOR210W,0
YOR217W,0
YOR224C,0
YOR232W,0
YOR236W,0
YOR244W,0
YOR249C,0
YOR250C,0
YOR254C,0
YOR256C,0
YOR257W,0
YOR259C,0
YOR260W,0
YOR261C,0
YOR262W,0
YOR272W,0
YOR278W,0
YOR281C,0
YOR287C,0
YOR294W,0
YOR310C,0
YOR319W,0
YOR326W,0
YOR329C,0
YOR335C,0
YOR336W,0
YOR340C,0
YOR341W,0
YOR353C,0
YOR361C,0
YOR362C,0
YOR370C,0
YOR372C,0
YOR373W,0
YPL007C,0
YPL010W,0
YPL011C,0
YPL012W,0
YPL016W,0
YPL020C,0
YPL028W,0
YPL043W,0
YPL063W,0
YPL075W,0
YPL076W,0
YPL082C,0
YPL083C,0
YPL085W,0
YPL093W,0
YPL094C,0
YPL117C,0
YPL122C,0
YPL124W,0
YPL126W,0
YPL128C,0
YPL131W,0
YPL143W,0
YPL146C,0
YPL151C,0
YPL160W,0
YPL169C,0
YPL175W,0
YPL190C,0
YPL204W,0
YPL209C,0
YPL210C,0
YPL211W,0
YPL217C,0
YPL218W,0
YPL228W,0
YPL231W,0
YPL233W,0
YPL235W,0
YPL237W,0
YPL242C,0
YPL243W,0
YPL252C,0
YPL255W,0
YPL266W,0
YPR010C,0
YPR016C,0
YPR019W,0
YPR025C,0
YPR033C,0
YPR034W,0
YPR035W,0
YPR041W,0
YPR048W,0
YPR055W,0
YPR056W,0
YPR082C,0
YPR085C,0
YPR086W,0
YPR088C,0
YPR094W,0
YPR103W,0
YPR105C,0
YPR107C,0
YPR108W,0
YPR110C,0
YPR112C,0
YPR113W,0
YPR133C,0
YPR137W,0
YPR143W,0
YPR144C,0
YPR161C,0
YPR162C,0
YPR165W,0
YPR168W,0
YPR169W,0
YPR175W,0
YPR176C,0
YPR178W,0
YPR180W,0
YPR181C,0
YPR182W,0
YPR183W,0
YPR186C,0
YPR187W,0
YPR190C,0
